81fdc249b649f771f9cce9e62d082d1a a239a2ac588cd28330c113555b7f9af1 || 0 1 1 || 0 1 1 ||
0eebfa63151a2e0975e95ddaefb0ba05 cb7db9e0a4a63558278903b7dda3fb8f || 0 0 1 || 0 0 1 ||
524669e9e5beb7444ffbd73370802b6f 06f51c1b67cc971aca68669b9186a8da || 0 0 0 || 0 0 0 ||
ea02a934863d0c143928d8251cc62aec bf3c19cff3caa57d5bc182ef56d0514e || 0 0 0 || 0 0 0 ||
4accfc93b06c13079b0c6505dd6d8007 4f58bbcebf5844273e7c5cc96791acac || 0 1 1 || 0 1 1 ||
8d289331885ac554102ad331e7541eb0 c21e93c1a8e906469f15d033300129cd || 0 1 1 || 0 1 1 ||
6819cf8d5414a96090c37d21f1eceebd a70d18c8cd0e8bd314d1bc585864846c || 0 0 1 || 0 0 1 ||
e6d8c68e502d44d5c28904cf9fa1a2b6 2809aac2e5af0ad26951c3832473a889 || 0 1 0 || 0 1 0 ||
e6b6336a8ce6e8be8116a819be18bd08 db11db67831ea5047798f879df844a3c || 0 0 0 || 0 0 0 ||
4ed002ef539eb6ddb8d715e8661d8154 470132431242d19f63298ac197300df3 || 0 0 0 || 0 0 0 ||
3dc38437113e01ad4845203889c7054f ce8bbbf73b4c929b2815481f60ce8320 || 0 0 1 || 0 0 1 ||
ef4436b7b083ddf13d88a075cf4d841a 128c398f624e7464794667edde672735 || 0 1 0 || 0 1 0 ||
3098e70247941702fccb527fcf1f239b 3280f8779f77b0e7f76c7a0c4e551532 || 0 1 1 || 0 1 1 ||
12d6fbeec675c8e5ce75f0f3852c047b 8e73c5666a87e20868a1bba6ca791265 || 0 0 1 || 0 0 1 ||
7b1a233f6e908e700508f8eed2476a0d e9bd10c7d94e2652e7be66de75098e51 || 0 0 1 || 0 0 1 ||
0620895b75f076b935316c6860b79670 21191b713ec86796f3b6063ff69709c9 || 0 1 1 || 0 1 1 ||
528807676b05729fb25522ac249342ad 3431e196120ac5a7d8eedc9897ed5a42 || 0 0 0 || 0 0 0 ||
db258e17f0e9ec94049961b84ffc58e8 60963e4e66df6d1de54a501ca012c230 || 0 1 0 || 0 1 0 ||
878b182b4376d19dbccdd6931824e23c 77ecf6335b197e2110835c78e1fb069b || 0 1 0 || 0 1 0 ||
70df861c7b946d2c64a53ad0418c37d7 560af0cf86ebe32ad580e3690cb07a7b || 0 0 0 || 0 0 0 ||
7e1f9befce2d6cfaec83f3be488b8c08 3f928b0925b38d0b74cc60421173dfa1 || 0 0 0 || 0 0 0 ||
f43b042eb7e259720a253e86882560e3 8c56d1211ef237412bafb0d6dfd67542 || 0 0 0 || 0 0 0 ||
4afa235c63a42b508eb7c0dc5dff0f1a 2af1542b2f6592b500f071405429f5a0 || 0 0 0 || 0 0 0 ||
8cdfa309ec63a7d4da98a99a176121f9 f4e2c25c71ce30806131398bef24eaec || 0 1 1 || 0 1 1 ||
b75f81065e187fc8cc0b6f85cfc10dfc ea19f94013fbe1a5aa91ec1361b15c44 || 0 1 1 || 0 1 1 ||
34be61dc2382252771d273964c516365 04de1933326702ee09b81abf286c3a72 || 0 0 0 || 0 0 0 ||
4b0fbc1cb898472d7ff9f6e744c514e5 2cc381296679bf03b81d12e7289b45ff || 0 0 0 || 0 0 0 ||
5a998dc55b3c5c5c15cda3cd2aeb761c 5f9aae016350d9d141c806c2c86f6c0b || 0 1 1 || 0 1 1 ||
b8513689ba8a45538b6775bf54328bc9 0a4ffc9e93508b7e7294ade369864331 || 0 1 0 || 0 1 0 ||
cc05c51d6538c02c875af31b93d6d4e7 4796ad651134be031005890eadde4a1e || 0 1 0 || 0 1 0 ||
cd429d822bcdaba60c6da5c5d35e981a 7f2234e1b189fdd1227c2b65108b3565 || 0 1 0 || 0 1 0 ||
629ea9c86895c8d39067d40124bd3b58 1253c3ad8010a974cf79672eaee8bade || 0 0 0 || 0 0 0 ||
8086f61cae2c62b582e36fcd94abacc2 220d9f530f135318dfd77a93497703d5 || 0 1 0 || 0 1 0 ||
72cafaa21adeaec79960c73509cc425d f20ebe11e77c6cf821bb82585e40eb41 || 0 0 1 || 0 0 1 ||
1cfccdce2ed106a30d48b2c0aab25dd4 4bf7a38d6b1892b825ef51bd5805e69c || 0 1 1 || 0 1 1 ||
c4d40258820bb4a3b7825346e3b1d218 01f14b40b1b3993eee4a3c217ed10a6e || 0 1 0 || 0 1 0 ||
dd47d38cec8e162ed9bfbcb09fe870b6 5026242b7f3b16335c07f7cfc04c75df || 0 1 0 || 0 1 0 ||
f2dfcdd6a93f24c7364007f988c9bc5f dd1befee211c689765af24b2432bbae2 || 0 0 0 || 0 0 0 ||
a2eb51aa3bc48b3c4b3d5e36cebaa87f cb071e9698cf513088dc4196cb35f5a5 || 0 1 1 || 0 1 1 ||
d4528a219383a07ab67aded1ac740c0a 531f6d945f246ec34cca16369498ad06 || 0 1 0 || 0 1 0 ||
2d3080f992f5d03995d601960339af02 556139e21e38418f48bbf6e96dffdcc4 || 0 1 1 || 0 1 1 ||
40f2a9c963b42d0a8f29a9efa7011322 0c9f8905e79505ac3dc85d6b2dd32631 || 0 0 0 || 0 0 0 ||
afaefe5f6cf0e87872ebf0f6b200f32c d820e36f48a42d51fda7689b98c2da2d || 0 1 1 || 0 1 1 ||
520047e49bea760242d23f8c903e7a25 efbca9c944b0b0219c178ea6badf1dc2 || 0 0 1 || 0 0 1 ||
8930a45eac208e573452b81402aa7fc7 d1ad91996538b75bf76741226a12af80 || 0 1 1 || 0 1 1 ||
228f5758d4f4e916ea03b9d34b125702 e89567d716198da4f039298fef2ab799 || 0 0 1 || 0 0 1 ||
cbe9c507f9a8746eb947a4411b92d9f3 1e942e68208b1f198d39195af15dfa4d || 0 1 0 || 0 1 0 ||
ae9ccb3894202287086709478a2eb18e 903765d9926092e9fc18b814880106f2 || 0 0 0 || 0 0 0 ||
6723e207caa217c1ea35a742bb173962 0cb76352532d78346c85ee294b510909 || 0 0 0 || 0 0 0 ||
d3923d7b7365e321cad841fe31cad05b 25b388965cf94b3fdfdc32ebedb09a4f || 0 1 0 || 0 1 0 ||
dceea8270ada51bcd09d39076e8bfb0f 5c27f691c0e50475e6a29a9b70b09d7e || 0 1 0 || 0 1 0 ||
9f8fabd3c7abbad6a9f4a9a800e49e99 2de04e854d7000654c8e2ffd463c62e1 || 0 1 0 || 0 1 0 ||
11e5f07fc96759f49fe4b2cd0de3880c e3002e2cf1505c9e70f27f4341771a9e || 0 0 1 || 0 0 1 ||
f915bd5bb79f88a82ee47e5475041fd9 48359944e7e2b79cf127e49ada59308e || 0 1 0 || 0 1 0 ||
96de25bcb18731915189276a821e478b 142bacdca81ed065c5cbfb369c0e4ed6 || 0 1 0 || 0 1 0 ||
a39a2587bb9e11d34dde08258712e52f d7a1d78252ae7f49e3cbffe1e6f9d88b || 0 1 1 || 0 1 1 ||
ce7a100039814566e7259e9efa0ebaf2 20bc3d49b48b0f3fae94012b83294896 || 0 1 0 || 0 1 0 ||
a7f65fa9bd4220a60b30057c56aae784 ef17498e494bd67b461e66b656e918e7 || 0 1 1 || 0 1 1 ||
a3fa509eb06dbd900295e240ce568f7f fd583199c9fdef71498495b47807c226 || 0 1 1 || 0 1 1 ||
6d0fe2a6f8c6c36f57843ecf5640fb07 4f24954a6100274cb16ccf48c5cd0590 || 0 0 0 || 0 0 0 ||
46f82f6e61aca8ca6569a53e94a1845b 31cfd60441e6adce3419ec342e145ca4 || 0 0 0 || 0 0 0 ||
694f53366c518431a55c21a93e6eb8d7 c8fb167204fae25ca099644a13080211 || 0 0 1 || 0 0 1 ||
14408c1dab68b29047b7cbe34afa8ca0 2de4ca0b24a59ef13d7390714c30891e || 0 1 1 || 0 1 1 ||
f010e41a87ad5630d41c144eb46a0a6f b2b32b12cd12497741434028fd312fa8 || 0 0 0 || 0 0 0 ||
435e8335183eb6d9242a016cd6a57d16 8fe1abbc389e71a854bc27a7791acb07 || 0 0 1 || 0 0 1 ||
cd8e5904e5922194a89135673fdc84ae f67caa4c4bc0d77a5611c87a524ee412 || 0 1 1 || 0 1 1 ||
19c8a60ec6902e421db685579dfe7da9 b2c41289828a6206022e153bde565876 || 0 0 1 || 0 0 1 ||
3650b34721e99c1f5ffffcc1b7e090a3 98895145601fef046436f4705b340c60 || 0 0 1 || 0 0 1 ||
9aba1327e139b38c58b027dc8848394e c00c761c5ead09a7e7f227614f487c4f || 0 1 1 || 0 1 1 ||
280ec0d097ec2025f9b8b4892130d3c4 1a458c5af5cfc51021dd14298e1fcfcc || 0 0 0 || 0 0 0 ||
88d76231a7b076489f79c6cf48cbfea0 2cfb47ed1ca01341bed35ecb16f22767 || 0 1 0 || 0 1 0 ||
4f1fd5f1083377975624b477f9b38445 17fc30a435415ce1578e21cd686f9c45 || 0 0 0 || 0 0 0 ||
76235a4974e319ff4212d9ae792a2a43 e5f8e96a4b6b42c01312ff1d27230916 || 0 0 1 || 0 0 1 ||
52054b5cdc638bcd7a168d56e6514ee0 7f7894740cf3e2dba2fcb5b4cef6090f || 0 1 1 || 0 1 1 ||
da5536ebda48a896979ed7f0ca58d787 4f06260c2ae7d434abb314a372466a1e || 0 1 0 || 0 1 0 ||
3431040a2aa6808134eea3361fce8a92 55982541401ad607e0fddbfe1cbbbbed || 0 1 1 || 0 1 1 ||
c69413b9164f14e7787f970ca4cc3018 5a3bed29cfe3e8fe7a0f3884e0426f6a || 0 1 0 || 0 1 0 ||
9130c9c0bfe12f3f1a0235242acecba9 49170f303a33f45e26b35032dd09b5dd || 0 1 0 || 0 1 0 ||
66782d7bd87d4da1d5cf364014df70fe deb7740f22775f07b3d958d646145d66 || 0 0 1 || 0 0 1 ||
625557ae05e13c9b7abff8253a8d52b1 4ef38dd3769963a50eb57198216dec41 || 0 0 0 || 0 0 0 ||
a686296f191e2b5952e0105c833012a4 45d2b7a550e6f55039ba49b37beb3b82 || 0 1 0 || 0 1 0 ||
bc458f8640cfbb04cbfc861e283e0705 42f072c2ada4998aed9a0ea454372b44 || 0 1 0 || 0 1 0 ||
f7dc3bd33b710a7c1e37f6d56fb1a6e3 cec0e532284f49839ebddd96e398d9db || 0 0 0 || 0 0 0 ||
988fca3cbd99b15bcb3924e570c0297a cebd53556b2af516a01e45ba37cd0c1f || 0 1 1 || 0 1 1 ||
438769b9484f29c7a764d53f1d37acad bfe8bb04478b2063ed763f0f2bc39ef2 || 0 0 1 || 0 0 1 ||
5ab7fc961e6daf4fc4896b2082f904dd bc427a7fbb64a7eddf9e346aea8e25e8 || 0 0 1 || 0 0 1 ||
44929de764f79414996cc63d3e790d12 ca4160846a6f420d9cc422e66839451b || 0 0 1 || 0 0 1 ||
851297e71efd75781584cc879593f1f6 6845ff4d6dfec1ff9a8193957ddf4761 || 0 1 0 || 0 1 0 ||
641be978984c27d3bc4c3a41118caafb 6465d1423bbb23651f8d3b978e27d1f0 || 0 1 1 || 0 1 1 ||
2bad567f96b72fc7d918820ae417c355 7028d7d02783e28708b8b273a53f7eef || 0 1 1 || 0 1 1 ||
00cf8cd0f53f3c60e4874fcb4a410ee0 ed33d37eaa1abb7c8b68d206e1a2c0eb || 0 0 1 || 0 0 1 ||
8537754381ca629c6d5a5a4cd2c74bd1 fd1f4ccd5691e85423b5ce0295ec8c00 || 0 1 1 || 0 1 1 ||
5553581645a604df54a1275da7d8e792 2163c1d9c57512ba17d2198061b973cf || 0 0 0 || 0 0 0 ||
0c6da56795a09593478951c303afc943 996e9a8cf26891e889f458cb3af0ac5b || 0 0 1 || 0 0 1 ||
1bd514e3a4be588df7f7f67a1fe5c46c 3ad092240e5d4126caefa7038acd9df3 || 0 1 1 || 0 1 1 ||
65fa15d1cbf8b02dc1b6518661639c7c 6e407f1decfc04d89d5b040aef189016 || 0 1 1 || 0 1 1 ||
9193bbeb4fa71e74e376aa0f9cefefe6 a0737694be60a76368b1a8a4d03e7707 || 0 1 1 || 0 1 1 ||
68dfed8b521173b79416e9bcf32b5177 b60607919c9e67d509a906898fec0ba5 || 0 0 1 || 0 0 1 ||
922f7cf0c87beb205b3fb9529ea06b1a f94bf290bc0a0834a72a2673bde84fe4 || 0 1 1 || 0 1 1 ||
53d244e85cf513463c3e2cc89616b382 4e6e9317fc967d72c4e512220668c076 || 0 0 0 || 0 0 0 ||
f0f2b1bd78c09f738ac5e879757451ed 8f3a03ae892b2af10fad7f1219a8251e || 0 0 0 || 0 0 0 ||
50d18edeea402ad7838738d51d4fca44 49224143965a8b689cb237ac42ff12b2 || 0 0 0 || 0 0 0 ||
15f4152f11ae849dbd734b81707bc5bd ce81c3282d53b48dc44f96862de15daa || 0 0 1 || 0 0 1 ||
75e590d84a5c8865d2d058c6f5e931b2 3be948aefa17661ae938c1bcc3053a7a || 0 0 0 || 0 0 0 ||
ac1595701e53fb285b7bde852696a665 e0a76e6150a5fcfcc4a4eed31fbcd427 || 0 1 1 || 0 1 1 ||
3867a6d3ffdead35e752b18739a08b5c 0be476e0b83884aaad75ff0d4e5dbc3b || 0 0 0 || 0 0 0 ||
b8598ab325529de15a7af93aa4acfb72 f38370ee84351eff4213d7c272fd8b3c || 0 1 1 || 0 1 1 ||
0e74f4cccbee3abe8de99c86f1ad97ec 2a5d9765829c6de7a4cccee351bf2a55 || 0 1 1 || 0 1 1 ||
e1a3e0d166a1d8812b2a0ee4206fa44b 326545b17b465eb303bf10d7ff8bd85e || 0 1 0 || 0 1 0 ||
0a7474d1086e1aab5cf2cc7ca7f370bc 610416ddf8fd877a6dfb73c570ea57b2 || 0 1 1 || 0 1 1 ||
71fbbeb7d5a06218991f3407cdb76b8b 1149a2af7b4fef5d93c093fa0ba8fdd8 || 0 0 0 || 0 0 0 ||
253131da7a08344465f9cccb29c890e1 79857326f195af52b1e7a981dc51ab51 || 0 1 1 || 0 1 1 ||
af9c8f4281012f8c5973d656bcdaf15d 2ba41bb53b013f12d2a0d19a335d890e || 0 1 0 || 0 1 0 ||
886e6a3298744c33842670c73bd98a4a e4c4c4eed3aba236e73afe8877c0402a || 0 1 1 || 0 1 1 ||
bc6ce10a5cc7e8d3ea07c84296a1f25f e43387dc9ccf603f1a2ec7e5b509cafb || 0 1 1 || 0 1 1 ||
31202edf5619d5defdb0c0ee460fbae2 00bfdadd8f09aa70d23f3543935bfeb0 || 0 0 0 || 0 0 0 ||
1b8ab7fca4edcfd353c46a177c342ff7 87b1609b42c888abbbe86bc1520eb4b7 || 0 0 1 || 0 0 1 ||
7b202b51557905d8d5e29341d95b43b6 b15daaaa7f56a0f1f947cf9956549bee || 0 0 1 || 0 0 1 ||
0d6d2585aeb06bb01b10c7c4bdb274d3 e3eb3046efe850d492991d81115d5823 || 0 0 1 || 0 0 1 ||
7cb7d79248eeae02904572cd1e50d4b0 6b50495dcd499cba1daf39be28257406 || 0 0 0 || 0 0 0 ||
6d0164b6021264ecb21004610d62adf5 8ef98297c4b549423047526412e011af || 0 0 1 || 0 0 1 ||
87fef0f68cd1086b4c7297e22ccdaafa 3a541d53e548c7bb735cf85dfefdc31e || 0 1 0 || 0 1 0 ||
6af075b33dd0f8c6c5b1e8c293dc4fd6 c82027120c7d89f8a7b4b69a81e68a9c || 0 0 1 || 0 0 1 ||
e693a11af99d9d6c4cdc261eba51243b 4dd8f7ecddb3e1a18dbb8fecd8bfd0ac || 0 1 0 || 0 1 0 ||
f61814b954b97de4fcad4d2953a962e7 d90eaac1986f314aa7c580babd82858f || 0 0 0 || 0 0 0 ||
11a941867e9551f5de134a6e2637b6f8 c9038e8fa76408bb3abecdd9933b1c79 || 0 0 1 || 0 0 1 ||
90e13510d38e80740f95bf9d2c092d67 032ca2d9f87eb46dc66867f1b07edbd4 || 0 1 0 || 0 1 0 ||
c24c10a5678d8f5a41365d0d79e6eef0 1ffe2da6c9c634e6cf12b0e4b14e9a03 || 0 1 0 || 0 1 0 ||
960a51a7edd813ca08c9cd8a28bdda9f 884efee59da2fd56c1a2126869fc7709 || 0 0 0 || 0 0 0 ||
0a1c28849a5418af9ca2088e768f0ff4 e7ad7fcbd439a9368bc92ff0f671f190 || 0 0 1 || 0 0 1 ||
4c91e271b740a0d164e0c24304405d83 6294ecbde96dee8e48122d4212ee29a2 || 0 1 1 || 0 1 1 ||
2b7f4560795abc4ee5601effc2aa18c3 982567e7391327e8c24d4e74d95ed333 || 0 0 1 || 0 0 1 ||
e3e8a6540e69bd88b1a358f7410046b6 8c7ee406a90592ff717f66521d399299 || 0 0 0 || 0 0 0 ||
50e482da49aef0ea7bb849143bf1a1e0 3f87a786f6851fb3fa5539ab51a1df2c || 0 0 0 || 0 0 0 ||
9c9f9972f099130c211f26ac3028b1ea 284af81ff88d983070fbeeafc35f04d7 || 0 1 0 || 0 1 0 ||
da8b806d1ec1f492b1fbafbf1d5212d2 75d1839db97d88169dd62b7718c17ec5 || 0 1 0 || 0 1 0 ||
ad916344b1bd6269ae745a7e7b70ae49 c7bfde6b8374858af646b6e71402d5bd || 0 1 1 || 0 1 1 ||
cce506909bae277ef164200c4aed99c7 2827c59753e593bb044253c00c04756a || 0 1 0 || 0 1 0 ||
cf14d925cdc57972f47433f1ec5ec9e8 91ea5f802fed311e987783f4fc5ed88f || 0 0 0 || 0 0 0 ||
9b92174724f22f45c34e9c72343f57a7 018d7d45bc14ac58a545911a75352e23 || 0 1 0 || 0 1 0 ||
fb45b3deb0a64d5039bbe679d672f2fa 7a63bbf60c92198a5b547c9cd3446ed3 || 0 1 0 || 0 1 0 ||
c829172ec7e562c412b6d019950d8d83 06b593301ce3075a03ec2c1be0a5745a || 0 1 0 || 0 1 0 ||
efbdf529bf6bdadaa65f5219058467a1 c5c67db9e674b8e0b431adcb7aaea565 || 0 0 0 || 0 0 0 ||
b8e8c8c51fa8130d88e8da5cf80416a2 832f8a1fe93873ef2bf5276aac4edce8 || 0 0 0 || 0 0 0 ||
c70cfdaf50e52529dfbed0f8d813e5f0 a85bceb0fe6f96144c1bf201502d2acf || 0 0 0 || 0 0 0 ||
55f4b6ffa1492532cc18846d54d4ed21 eebd96e5b76bd5743211640ecb7f6321 || 0 0 1 || 0 0 1 ||
d2ef3f366d8021a734ff1de07a09d42e a4ba79c86c5f677656ce27e361469a60 || 0 0 0 || 0 0 0 ||
2b701257bbb25fd686f219636f4383f2 87a24fb4d8f6d3abebd8379060a39bf6 || 0 0 1 || 0 0 1 ||
ce226b847993b14530b82fbac31cd129 f87bc9892d1e6843d3f70ec7cdc10904 || 0 1 1 || 0 1 1 ||
5b5ecd611d88bb6d5e82153955dd9017 a6b400e241c3fea73f1693e729384eb6 || 0 0 1 || 0 0 1 ||
ba340d9cc9da5ce2df75c845f178fe47 d746c93796ed950f031e62716ec0fb97 || 0 1 1 || 0 1 1 ||
bc0ef9a9d165707a61a7165203bfdd2d 09adedcfe35564f1cfa2988272c52993 || 0 1 0 || 0 1 0 ||
87b472aa4dd4eaf93b92fa8c104f8223 7de957e00c668993af41b8899e0dd09e || 0 1 0 || 0 1 0 ||
f1879b90612516fae61ac26a7e2e44d7 8b33c2b480b8aa64905e2ed82a183355 || 0 0 0 || 0 0 0 ||
0bc731405250a551bbb62a1383600ce8 02f623aa096043b396e8b3d5123ea07a || 0 0 0 || 0 0 0 ||
294c82d209859ff8bcd8269ab6d64b26 c165fd134f62fc9a3aabeee6c7d1c746 || 0 0 1 || 0 0 1 ||
1c27011b249f0a9eac409a6ec705b88a 1816743f42e909f1958bbc7a3c450d5b || 0 0 0 || 0 0 0 ||
d107086a1171d4344a520fa54eeab156 56ef9de2c6c25bb4d609264064610836 || 0 1 0 || 0 1 0 ||
42e2d74ee7fba9f834df67fd489425e1 3e66a48871493da7218ad4cee5f0167c || 0 0 0 || 0 0 0 ||
4646360dbb4343fa02090f062c94e45d f4750019db90febca8cf7afeafe4d2a9 || 0 0 1 || 0 0 1 ||
329235bd5accd12d2426aa9b2fc45c61 78a748e258783db7fa428002568a39ef || 0 1 1 || 0 1 1 ||
2c595dfe960617f942dd2390b9093a19 481e558cfbd1261b5acc5af88bf70676 || 0 1 1 || 0 1 1 ||
62ede6c007747c76a14fba2f580d04e8 f1e3bc5def1eea6a3a2df1806ee7967c || 0 0 1 || 0 0 1 ||
154c63d381ea3f950ef6b54e5265c875 9f6ed1a1b748f2a4fbb9bda415030edb || 0 0 1 || 0 0 1 ||
2c6f378597b8b44351802d5928ed69d3 67e352d6f6dac6f4bb086ff6c2130953 || 0 1 1 || 0 1 1 ||
7024aa5753af34297b930e2873917603 a3e7ce584b2d5f36cf4378948b2f4e62 || 0 0 1 || 0 0 1 ||
36bfc814c3f4f412e2f860438c944e24 b08dd22e6ad2ea3abf8906a80a3d174d || 0 0 1 || 0 0 1 ||
6679b61d9ebb81e6343994103a6bac8c 7248ce123b1513a6b875532b9ea9a02f || 0 1 1 || 0 1 1 ||
077a056798665b5f92537dc2890cf226 ed25cae2a9c304d9f24082a5bd995099 || 0 0 1 || 0 0 1 ||
8b8cdba8e0ac51f21b57b33bb01653db 364ee961cb74d7a1191f8690b6dfbde5 || 0 1 0 || 0 1 0 ||
b7293c55ecec035c6e25d93e1d402e32 63a173fef39a5dc9d93135fe86aa5d55 || 0 1 0 || 0 1 0 ||
7318deeb6bc8b8e1315a3c62912b9c0f 6b64433c65eaf3e7768637194522c1f1 || 0 0 0 || 0 0 0 ||
f549f83b4078a2af371c0b398c8f82c6 59f59a10a8df4d8b361339279730f780 || 0 1 0 || 0 1 0 ||
7f2f9904f63fbb2c754b2eafb1c47507 67840921f91b9b7afc7352faf1f06e42 || 0 0 0 || 0 0 0 ||
0e648ec4e32d49c9f11515eefce5cd6c 29169304b18734560ca7c967819a1dbc || 0 1 1 || 0 1 1 ||
766a4c9e36efbd7492f3238a6f4f736d 6479d132c79e33f482d49b5692deceac || 0 0 0 || 0 0 0 ||
6384d3d46c04f9a16721ef4a69400231 589a262d8e0484445a93421342fab65b || 0 0 0 || 0 0 0 ||
e49ff165f0317513dcf974f40d2d90ef 26cb7728812222f0aaf7d384b4474757 || 0 1 0 || 0 1 0 ||
b9ea78ec06a8e96c74d6a37264a286d1 b7bfc212b94f9e50fca3556eb379d3fb || 0 0 0 || 0 0 0 ||
8dee2732a1186737e52e66421ec238ba 4c4b47c65532b213caf5ba3d4d91cb59 || 0 1 0 || 0 1 0 ||
18c73038ccc67635b1385990efd0b079 44e1364b348a7be148dfccb462b64c83 || 0 1 1 || 0 1 1 ||
b3f4fb6e8f9cc542e93d5bf6f3abd807 cc6d02ec3365b6cfa6a8814bc9c6a8cf || 0 1 1 || 0 1 1 ||
a7b8bf2de0f2cbc706b1c464c5f08642 a4aba20171fa2fb02f3bfd0e1c8d03ef || 0 0 0 || 0 0 0 ||
e1366ecb49b32a4885d82d47e76f5a78 868d87a20c657c94af027b5f98a2a3ba || 0 0 0 || 0 0 0 ||
a2f7a9fd182f7692fc9a2aaf3ea45293 655da2e3854b4c8552c23098efeec048 || 0 1 0 || 0 1 0 ||
d474e2f07c244cf98312ef6bc6238259 56d99925b06a89845c5b42a14bb8f56c || 0 1 0 || 0 1 0 ||
04fdf806f74ac441bb976d2a9007c4c3 532a3eb6f2693f583141598e3bc82c8b || 0 1 1 || 0 1 1 ||
9b1e6eccbe15fef6b013d0fbb63c370a e3cca1bcbdff21ed1feb4e911925ec21 || 0 1 1 || 0 1 1 ||
925b42f87edb30c4eb61963e25514cfe 2e0d4e7995a1ec4294656bf529236de5 || 0 1 0 || 0 1 0 ||
b33c15c40ec747c390e66a01341e28bf f2d06ada98e58091b24894a2e02dcebe || 0 1 1 || 0 1 1 ||
9ba0c82c18e7e699e90dee8554b26b09 eaf413a172fb07c986ff86fb8132cf7a || 0 1 1 || 0 1 1 ||
ed78fc9bb519efa3f376b06b80cc8a96 13c05e9dfd432e2802ec3a5df574d680 || 0 1 0 || 0 1 0 ||
72c3197148779a3685405128e7308e94 138bc5f9452319b9016a8168c4636f06 || 0 0 0 || 0 0 0 ||
3b0a9d2e1df899668cafc99218c8c828 9b27877eeab09e1157bffe502b7faf32 || 0 0 1 || 0 0 1 ||
6b5129eb17439a791980305417f153a5 8a2837324a499d464aeb8538222e1bff || 0 0 1 || 0 0 1 ||
f2eea4b214ee04a7bd25987e01b8f951 dba9c8bed62b5ed7e8c7df475c07cfb4 || 0 0 0 || 0 0 0 ||
6350596cde1f0ad55f8e1f1a225bd9a6 45a4e7fe26868a599ac45dc7cd62a3cf || 0 0 0 || 0 0 0 ||
cd9594a563581f0b766ecb2865be9e87 022e6441b076a4023128ac2cf6a705c2 || 0 1 0 || 0 1 0 ||
e19017e30affff8954831719d571507e 0f6f15503e20e81f9270d37a20992421 || 0 1 0 || 0 1 0 ||
ede5defeda9d6ab6c35da36a632c1238 d70b93d35f471ae4439d7689c432ef01 || 0 0 0 || 0 0 0 ||
cabbd4b2b848253b49df5a673ff93b60 3ec1216741c264de18a64184cee5bf52 || 0 1 0 || 0 1 0 ||
ff5dc71a404dc31addcfc44603dc6fd1 e46b5768bf60a6cda9b0ce4d2f8cf5e3 || 0 0 0 || 0 0 0 ||
e3b946391c3914209c4c1b11f3d21da5 ff1a1ef7984078de79c70023e72d7f05 || 0 1 1 || 0 1 1 ||
60351447368bcf7c8ee975d05dd1f6f1 9a16413f0fb9c510829cabe049344562 || 0 0 1 || 0 0 1 ||
626e9cc38b09a1e159f40db43063cd08 b164b4eda207a571b63a1aad9d2592f6 || 0 0 1 || 0 0 1 ||
4c0e1f7d43f79d6131a263fc2515b436 9ff6b36d1754325c985754d3ea428f13 || 0 0 1 || 0 0 1 ||
3672d837d010eaba794b0c6861b331e0 318de15b4d8cf8bfa0409bbdbf729676 || 0 0 0 || 0 0 0 ||
adcaab2dd172da90b15c7587cdbe2c7f 8ee441897c7af62d9838d231be942c93 || 0 0 0 || 0 0 0 ||
2a5b27dd3c59592bac9d319b4783baa7 19d263db16d431e9b570ba7e765c2e4f || 0 0 0 || 0 0 0 ||
28407b355f8ae2cafbb606f0a49cd371 709be07e9bb36bbcd803948342447fbb || 0 1 1 || 0 1 1 ||
ead93c07e0007553e982c0287d049e04 0313576b4abccbcc47708d861849178d || 0 1 0 || 0 1 0 ||
25f94c8171acd01046482d11549e21a9 31dae8a53ed26c8af79f33aa1d908569 || 0 1 1 || 0 1 1 ||
a9075fab121be3ecc1422c83958f3b63 478edfd69ecedad1ba3fd2bb0f3d5e46 || 0 1 0 || 0 1 0 ||
3b0778f9b0b56d980fbf41b449989a5c f7694a9d31ea5ef0716f1732326eed55 || 0 0 1 || 0 0 1 ||
83dd467a2c15907ea9fa1e42ddfbad4b f8bdf8024ab98f8368c7e3831affd202 || 0 1 1 || 0 1 1 ||
8c0dd82f9af665bcdc4a6beedb6aacab e523d5308ae9149be40264ece2df529b || 0 1 1 || 0 1 1 ||
98bea5c68637e99574bc67c41865a37b c829f9e1f9591e590c0b5c0868c273c2 || 0 1 1 || 0 1 1 ||
9a3beb94cf6b0d67c812752c06c703be 10f275fc733274cb4f5d3db156f969df || 0 1 0 || 0 1 0 ||
36765672f232b0f99bcd7d8a9be8689c 74571e0a9937a038539caefd724d99e0 || 0 1 1 || 0 1 1 ||
796412fa10a7714063cee952e73100d3 aba6310f0d05c0b59a193dc5f3fc5893 || 0 0 1 || 0 0 1 ||
5df1347c15c15f10315e8bdf7f220f34 05be0eeeba7f9227c36c0572dc5e56c2 || 0 0 0 || 0 0 0 ||
670e6a38a4ac904a727f6499332165b7 1af648661b391ef55f0b8e4880fecccb || 0 0 0 || 0 0 0 ||
1f96ef78af24d6145350d602e2e6ae6b 7017e2d84e1c42af53e0ebbdd4db6bd0 || 0 1 1 || 0 1 1 ||
4ed57d40e236e4420281d43c6819adbf 449b0bea3163340d6b84b6ca987d1fb8 || 0 0 0 || 0 0 0 ||
