c859cba7 a700a759 || 0 0 0 || 0 0 0 ||
2a6fb5da 33bf8d84 || 0 1 1 || 0 1 1 ||
189603c5 97b3c08e || 0 0 1 || 0 0 1 ||
b1a093da f11656ef || 0 1 1 || 0 1 1 ||
76e48e02 21ce843b || 0 0 0 || 0 0 0 ||
3d53345f 4dde70fc || 0 1 1 || 0 1 1 ||
1d2eaf05 6f2bca23 || 0 1 1 || 0 1 1 ||
6009b3cc 2b43d03e || 0 0 0 || 0 0 0 ||
9dc6808b abb6685e || 0 1 1 || 0 1 1 ||
89fbfa1a b82aec7a || 0 1 1 || 0 1 1 ||
16332388 7dcb3ae0 || 0 1 1 || 0 1 1 ||
98332f5e 1933e396 || 0 1 0 || 0 1 0 ||
030e9df2 43631169 || 0 1 1 || 0 1 1 ||
72ee336e ab50d816 || 0 0 1 || 0 0 1 ||
5a79a2c2 16806944 || 0 0 0 || 0 0 0 ||
efaca616 4cdd0047 || 0 1 0 || 0 1 0 ||
6d9ecc4d 0d6309f2 || 0 0 0 || 0 0 0 ||
3f9bb354 cdb31d9b || 0 0 1 || 0 0 1 ||
a9767c1d 13732b95 || 0 1 0 || 0 1 0 ||
5281e0ef ced34448 || 0 0 1 || 0 0 1 ||
5bf0316a 8c16c5fb || 0 0 1 || 0 0 1 ||
baa70cc6 c3b87ec1 || 0 1 1 || 0 1 1 ||
4e2aaabc 14e5c046 || 0 0 0 || 0 0 0 ||
1a138fc6 6b110450 || 0 1 1 || 0 1 1 ||
642ebddc 48fc869e || 0 0 0 || 0 0 0 ||
f972c479 60c018ad || 0 1 0 || 0 1 0 ||
e6cdcd37 d047a9a2 || 0 0 0 || 0 0 0 ||
02d8627a 0849cdb5 || 0 1 1 || 0 1 1 ||
864cda42 0531a024 || 0 1 0 || 0 1 0 ||
2c991c6d 4f4fb86e || 0 1 1 || 0 1 1 ||
736ca392 3b037e5b || 0 0 0 || 0 0 0 ||
ab32fc43 f344e5ab || 0 1 1 || 0 1 1 ||
d777af0f 7431b31a || 0 1 0 || 0 1 0 ||
0de8d2fd a4fd525c || 0 0 1 || 0 0 1 ||
c084365e 43823355 || 0 1 0 || 0 1 0 ||
f9ba7a12 bd28c68e || 0 0 0 || 0 0 0 ||
c1b79124 346edef1 || 0 1 0 || 0 1 0 ||
befe4c13 d68695fd || 0 1 1 || 0 1 1 ||
22bb63c9 5d94c877 || 0 1 1 || 0 1 1 ||
4dfa4863 74b375c8 || 0 1 1 || 0 1 1 ||
15e0ccaf 5c04385f || 0 1 1 || 0 1 1 ||
c38e4222 cbdc6a53 || 0 1 1 || 0 1 1 ||
af7c3cdd 78048ec9 || 0 1 0 || 0 1 0 ||
84dd8c4e 0022fbfe || 0 1 0 || 0 1 0 ||
66e2afa0 ee21e7c3 || 0 0 1 || 0 0 1 ||
c36cf971 4a0e838e || 0 1 0 || 0 1 0 ||
6c95ca1a 74e357ae || 0 1 1 || 0 1 1 ||
e8e3c142 d44dc42a || 0 0 0 || 0 0 0 ||
aec79fc8 e3481a9a || 0 1 1 || 0 1 1 ||
7f42e56d 05213370 || 0 0 0 || 0 0 0 ||
5309c322 c1a998c9 || 0 0 1 || 0 0 1 ||
ce3245ea 11127a23 || 0 1 0 || 0 1 0 ||
e4876c72 eed4b9f3 || 0 1 1 || 0 1 1 ||
0426d1de 1466bbbc || 0 1 1 || 0 1 1 ||
9a06df27 22263422 || 0 1 0 || 0 1 0 ||
362b7b81 c5c0c5a1 || 0 0 1 || 0 0 1 ||
c3d3de41 bcaa2f67 || 0 0 0 || 0 0 0 ||
2c4441ae 848c0c26 || 0 0 1 || 0 0 1 ||
d3b587a4 1b684d9c || 0 1 0 || 0 1 0 ||
10915a45 155d2f82 || 0 1 1 || 0 1 1 ||
9ded64ec 8527508f || 0 0 0 || 0 0 0 ||
9420862f d267adbb || 0 1 1 || 0 1 1 ||
40e93560 c2e5d12f || 0 0 1 || 0 0 1 ||
f2a8c099 4123eefd || 0 1 0 || 0 1 0 ||
b08e7c6c a99b4dc5 || 0 0 0 || 0 0 0 ||
060ecad3 ebece548 || 0 0 1 || 0 0 1 ||
e1c1409f 3603dad9 || 0 1 0 || 0 1 0 ||
b4380475 5c2f3d75 || 0 1 0 || 0 1 0 ||
ab7a958b 77cbb243 || 0 1 0 || 0 1 0 ||
9f2bb077 0c83f261 || 0 1 0 || 0 1 0 ||
d8efe989 24374641 || 0 1 0 || 0 1 0 ||
4d1a7e00 978cae5d || 0 0 1 || 0 0 1 ||
71bc4f9d 85095c9e || 0 0 1 || 0 0 1 ||
252f9827 a3fada89 || 0 0 1 || 0 0 1 ||
1e96fae6 9cae5880 || 0 0 1 || 0 0 1 ||
23affe0a b5247151 || 0 0 1 || 0 0 1 ||
ed269a88 8831070b || 0 0 0 || 0 0 0 ||
c0ea6fe7 b6fd869c || 0 0 0 || 0 0 0 ||
2486b90e 54a1031c || 0 1 1 || 0 1 1 ||
c3d86a00 ead47422 || 0 1 1 || 0 1 1 ||
77f1deba 5fdaadc7 || 0 0 0 || 0 0 0 ||
b2ac1494 d8a07150 || 0 1 1 || 0 1 1 ||
af84a2ed b90525c9 || 0 1 1 || 0 1 1 ||
92945bee f4ea9ef8 || 0 1 1 || 0 1 1 ||
a1e77e6f e259a6b0 || 0 1 1 || 0 1 1 ||
a40d1487 13859f23 || 0 1 0 || 0 1 0 ||
05e87c2d 9fd66dbc || 0 0 1 || 0 0 1 ||
d0a26b92 1ddb6f29 || 0 1 0 || 0 1 0 ||
b8407975 7a0bc964 || 0 1 0 || 0 1 0 ||
813da8bd 524983a6 || 0 1 0 || 0 1 0 ||
2062c618 560db4b9 || 0 1 1 || 0 1 1 ||
1bed1c03 a4986c92 || 0 0 1 || 0 0 1 ||
e9416431 34b077d4 || 0 1 0 || 0 1 0 ||
785db32e c5579c61 || 0 0 1 || 0 0 1 ||
a52ee005 7e783117 || 0 1 0 || 0 1 0 ||
dc3a3a46 d39ed59e || 0 0 0 || 0 0 0 ||
0c3bd3c4 c3a1bd8a || 0 0 1 || 0 0 1 ||
6da742b6 097d289b || 0 0 0 || 0 0 0 ||
5ed9585c 28aac2cb || 0 0 0 || 0 0 0 ||
d404ddf4 97b46834 || 0 0 0 || 0 0 0 ||
6ccd2422 2362570f || 0 0 0 || 0 0 0 ||
962d08e4 69afa0c4 || 0 1 0 || 0 1 0 ||
e77da11b 1b491c3a || 0 1 0 || 0 1 0 ||
a3bbbbfd 1c0b390e || 0 1 0 || 0 1 0 ||
19817e62 48622890 || 0 1 1 || 0 1 1 ||
ac51b9c8 5570ca6d || 0 1 0 || 0 1 0 ||
a57596df 137e4f88 || 0 1 0 || 0 1 0 ||
dd33b835 b3eed71e || 0 0 0 || 0 0 0 ||
2118aa70 aa6bf8a5 || 0 0 1 || 0 0 1 ||
58c68e0a d8b7fc32 || 0 0 1 || 0 0 1 ||
ec1a44f0 bf5c5b44 || 0 0 0 || 0 0 0 ||
1d442865 8d3c3224 || 0 0 1 || 0 0 1 ||
d46b3637 1feaf264 || 0 1 0 || 0 1 0 ||
f27f9ca4 436a8018 || 0 1 0 || 0 1 0 ||
37741d08 892aa44f || 0 0 1 || 0 0 1 ||
8219aa7c af2a64fa || 0 1 1 || 0 1 1 ||
74592aa2 3e866232 || 0 0 0 || 0 0 0 ||
d1691523 4eb0381a || 0 1 0 || 0 1 0 ||
58f173e3 7a11b15c || 0 1 1 || 0 1 1 ||
aa017973 503169cc || 0 1 0 || 0 1 0 ||
37d336ce c28572a6 || 0 0 1 || 0 0 1 ||
f7c0ec62 8f839509 || 0 0 0 || 0 0 0 ||
cc1e66f9 99f4534e || 0 0 0 || 0 0 0 ||
dd8c6c86 09d68ce4 || 0 1 0 || 0 1 0 ||
7e1c1b7e 28c83044 || 0 0 0 || 0 0 0 ||
5d842bef bd9f0a15 || 0 0 1 || 0 0 1 ||
3d9dcbc8 d59b84a1 || 0 0 1 || 0 0 1 ||
5ffd3ca6 6e3181bd || 0 1 1 || 0 1 1 ||
82cc7d25 31f98457 || 0 1 0 || 0 1 0 ||
b57cbb32 4b2a851b || 0 1 0 || 0 1 0 ||
4d4a10cb 519c7358 || 0 1 1 || 0 1 1 ||
a33c8397 01fe7b5d || 0 1 0 || 0 1 0 ||
aedbf204 4f8fbcda || 0 1 0 || 0 1 0 ||
ec6ffa76 718e2812 || 0 1 0 || 0 1 0 ||
51d17812 42cc47cf || 0 0 0 || 0 0 0 ||
30681e3b eaf52948 || 0 0 1 || 0 0 1 ||
8b820671 c5cfa28a || 0 1 1 || 0 1 1 ||
6412fc4b 2cd3037c || 0 0 0 || 0 0 0 ||
323ae590 6b43057f || 0 1 1 || 0 1 1 ||
9c1de40e 4ae192f3 || 0 1 0 || 0 1 0 ||
6e4c9891 09832282 || 0 0 0 || 0 0 0 ||
dcbf3b37 dea934a9 || 0 1 1 || 0 1 1 ||
a2e2093b 6fe7a9b0 || 0 1 0 || 0 1 0 ||
8e2d193d 84e5941d || 0 0 0 || 0 0 0 ||
7ced981c f5ee6c3a || 0 0 1 || 0 0 1 ||
be834ed5 adbac7c4 || 0 0 0 || 0 0 0 ||
ba08d539 19790f1f || 0 1 0 || 0 1 0 ||
bc2ece8e 74f7c934 || 0 1 0 || 0 1 0 ||
5dfe5b48 855c394f || 0 0 1 || 0 0 1 ||
b345e97a 4e10367c || 0 1 0 || 0 1 0 ||
f1db2cb5 8ef36646 || 0 0 0 || 0 0 0 ||
84acdfd0 9c98649d || 0 1 1 || 0 1 1 ||
1b02d82e 1f62e8da || 0 1 1 || 0 1 1 ||
67c99d24 313987d3 || 0 0 0 || 0 0 0 ||
e2602b6f fe43849c || 0 1 1 || 0 1 1 ||
cd92fad5 697301ec || 0 1 0 || 0 1 0 ||
dac633b6 73be1927 || 0 1 0 || 0 1 0 ||
80a43bcc 313ae00a || 0 1 0 || 0 1 0 ||
8d225f78 7445505f || 0 1 0 || 0 1 0 ||
81bd4f9a 835e80b1 || 0 1 1 || 0 1 1 ||
25cad2e4 847194a6 || 0 0 1 || 0 0 1 ||
29acff79 5e6eb899 || 0 1 1 || 0 1 1 ||
1e5f17b5 ed821fbd || 0 0 1 || 0 0 1 ||
0b593c14 fa848a53 || 0 0 1 || 0 0 1 ||
30ab0ad9 29fb2bfd || 0 0 0 || 0 0 0 ||
e8c89aad 44105aee || 0 1 0 || 0 1 0 ||
07d559f0 ea2ef22d || 0 0 1 || 0 0 1 ||
7193fcc7 83a2e9ad || 0 0 1 || 0 0 1 ||
8713c8f9 e5d6db86 || 0 1 1 || 0 1 1 ||
0a4bbd25 a9d3884a || 0 0 1 || 0 0 1 ||
3f9a01b6 c4362fab || 0 0 1 || 0 0 1 ||
55dd81e4 0909aa61 || 0 0 0 || 0 0 0 ||
257226e8 4cf73dc3 || 0 1 1 || 0 1 1 ||
cce331a3 da96425c || 0 1 1 || 0 1 1 ||
9887e7af 90aaec07 || 0 0 0 || 0 0 0 ||
d1528a8e bb4832e2 || 0 0 0 || 0 0 0 ||
721a8b19 7faf12af || 0 1 1 || 0 1 1 ||
6ae3f8ca abc6e873 || 0 0 1 || 0 0 1 ||
e26fe15e cfceafab || 0 0 0 || 0 0 0 ||
565a7d96 93952377 || 0 0 1 || 0 0 1 ||
37580340 9a639519 || 0 0 1 || 0 0 1 ||
ac059b9a 6067221c || 0 1 0 || 0 1 0 ||
a6738d85 10f76cd2 || 0 1 0 || 0 1 0 ||
428b948f 247162e2 || 0 0 0 || 0 0 0 ||
f24dc987 566da4fc || 0 1 0 || 0 1 0 ||
101b2ddc 99bafacc || 0 0 1 || 0 0 1 ||
1253a6be f6f1c2dc || 0 0 1 || 0 0 1 ||
669205b9 e71bfd2c || 0 0 1 || 0 0 1 ||
12a726aa b654dd41 || 0 0 1 || 0 0 1 ||
28179ef1 0ca1d470 || 0 0 0 || 0 0 0 ||
2691b8c6 3cdb752e || 0 1 1 || 0 1 1 ||
2a94f79e f3232e8b || 0 0 1 || 0 0 1 ||
c81002bb 459c8c8d || 0 1 0 || 0 1 0 ||
7174844d 5156b120 || 0 0 0 || 0 0 0 ||
65e4dbf6 585e6866 || 0 0 0 || 0 0 0 ||
b7c9760b 73b4eb37 || 0 1 0 || 0 1 0 ||
8f54ab5f 0632f911 || 0 1 0 || 0 1 0 ||
8429b423 74d9fcfa || 0 1 0 || 0 1 0 ||
f057483a 244f298b || 0 1 0 || 0 1 0 ||
ffcb73f3 e187f96e || 0 0 0 || 0 0 0 ||
838dc5ea 3eac6f0d || 0 1 0 || 0 1 0 ||
ee2293c6 9a995864 || 0 0 0 || 0 0 0 ||
a23e6e31 920f3482 || 0 0 0 || 0 0 0 ||
2c9d4a74 f4e20001 || 0 0 1 || 0 0 1 ||
a37d414a 7d1db826 || 0 1 0 || 0 1 0 ||
1a5c8970 6a796fd1 || 0 1 1 || 0 1 1 ||
4e4870b1 3bb89bad || 0 0 0 || 0 0 0 ||
172fa952 b64a819a || 0 0 1 || 0 0 1 ||
c5c97e40 10e393f5 || 0 1 0 || 0 1 0 ||
abb727a1 7da617a7 || 0 1 0 || 0 1 0 ||
b75baf93 770c9ef3 || 0 1 0 || 0 1 0 ||
708891aa e28a0335 || 0 0 1 || 0 0 1 ||
ac2b1aad 2f7cbad1 || 0 1 0 || 0 1 0 ||
b46dc22b e3cff6dc || 0 1 1 || 0 1 1 ||
fbfe1a6d 81608c81 || 0 0 0 || 0 0 0 ||
65eb11af 1c2ad3c9 || 0 0 0 || 0 0 0 ||
4b141e79 a492f7cd || 0 0 1 || 0 0 1 ||
d9061535 eb427c58 || 0 1 1 || 0 1 1 ||
fc93f2d3 000b16bb || 0 1 0 || 0 1 0 ||
960c3e6f cac21736 || 0 1 1 || 0 1 1 ||
46b8b163 bd9bb850 || 0 0 1 || 0 0 1 ||
1a647154 a26a2e09 || 0 0 1 || 0 0 1 ||
b741a781 a6ff31b9 || 0 0 0 || 0 0 0 ||
5b151660 bbf867a1 || 0 0 1 || 0 0 1 ||
5878c2ae 7991f43f || 0 1 1 || 0 1 1 ||
eb98719f 9f0aed2e || 0 0 0 || 0 0 0 ||
9702e188 70fd49f6 || 0 1 0 || 0 1 0 ||
964cc803 32ebe579 || 0 1 0 || 0 1 0 ||
ea9c01df afc8d896 || 0 0 0 || 0 0 0 ||
d83c25cc 514f428a || 0 1 0 || 0 1 0 ||
39243bf6 6c5250ac || 0 1 1 || 0 1 1 ||
fd21d7f4 e2956932 || 0 0 0 || 0 0 0 ||
9e3e8633 db3697c2 || 0 1 1 || 0 1 1 ||
a491c0cd 0c579b46 || 0 1 0 || 0 1 0 ||
21eb8edd b5f71b27 || 0 0 1 || 0 0 1 ||
2373ee80 1c533aba || 0 0 0 || 0 0 0 ||
6f1cb5cf 25aaa83f || 0 0 0 || 0 0 0 ||
4b7e1073 2be5c90e || 0 0 0 || 0 0 0 ||
23ce9f65 24f736eb || 0 1 1 || 0 1 1 ||
16ee19e7 085fe9c1 || 0 0 0 || 0 0 0 ||
f5936818 ab322dd2 || 0 0 0 || 0 0 0 ||
da3b6e06 eb85455f || 0 1 1 || 0 1 1 ||
fbea0103 b8e4319e || 0 0 0 || 0 0 0 ||
89608238 eb4de982 || 0 1 1 || 0 1 1 ||
3a158306 31527878 || 0 0 0 || 0 0 0 ||
54483629 0b4da6e5 || 0 0 0 || 0 0 0 ||
2685390c 33c093f5 || 0 1 1 || 0 1 1 ||
f0413e5b 04977677 || 0 1 0 || 0 1 0 ||
abe394ce 2301c90b || 0 1 0 || 0 1 0 ||
0f8c7114 f50baddc || 0 0 1 || 0 0 1 ||
ff0ef336 fd292b13 || 0 0 0 || 0 0 0 ||
0864fb2d 685e51f1 || 0 1 1 || 0 1 1 ||
fee8f8d5 cfcdb2fd || 0 0 0 || 0 0 0 ||
5639f343 eba24203 || 0 0 1 || 0 0 1 ||
c2e86f00 2bad1355 || 0 1 0 || 0 1 0 ||
3008e2c5 66a0c259 || 0 1 1 || 0 1 1 ||
7423db82 76c83dbb || 0 1 1 || 0 1 1 ||
21d25eab 329b4231 || 0 1 1 || 0 1 1 ||
b7b5e6b1 fdb9069d || 0 1 1 || 0 1 1 ||
c0b47362 292121e1 || 0 1 0 || 0 1 0 ||
de51391c a8338ead || 0 0 0 || 0 0 0 ||
c6e8d694 c7a5b396 || 0 1 1 || 0 1 1 ||
3f5b86e6 2808492a || 0 0 0 || 0 0 0 ||
e1725725 cda49fb5 || 0 0 0 || 0 0 0 ||
dd5ac734 428d0ad1 || 0 1 0 || 0 1 0 ||
aef5a471 5115cc94 || 0 1 0 || 0 1 0 ||
e6600c55 e302730f || 0 0 0 || 0 0 0 ||
504a1a7c 355ee8b5 || 0 0 0 || 0 0 0 ||
982106d4 2f92d5b3 || 0 1 0 || 0 1 0 ||
e891027d 432ac7e1 || 0 1 0 || 0 1 0 ||
00e5f460 522fbd94 || 0 1 1 || 0 1 1 ||
d7a1512d 879a4ce3 || 0 0 0 || 0 0 0 ||
45015cf0 e2af6bcc || 0 0 1 || 0 0 1 ||
4308928e 7e55abfc || 0 1 1 || 0 1 1 ||
dfed6f62 4d0495fa || 0 1 0 || 0 1 0 ||
79adbfe0 5713f4dc || 0 0 0 || 0 0 0 ||
19040c30 f06636ea || 0 0 1 || 0 0 1 ||
31b1dae8 9ee60cbf || 0 0 1 || 0 0 1 ||
af817eb4 1a38daee || 0 1 0 || 0 1 0 ||
8c49edfc 53e14c59 || 0 1 0 || 0 1 0 ||
74f7203b bf565d4b || 0 0 1 || 0 0 1 ||
9e6fc124 8d84cbd9 || 0 0 0 || 0 0 0 ||
88dd4c13 87ffd78b || 0 0 0 || 0 0 0 ||
089a408f 1675b651 || 0 1 1 || 0 1 1 ||
d86a31f0 7b6a754f || 0 1 0 || 0 1 0 ||
6505baa4 8ff45398 || 0 0 1 || 0 0 1 ||
03304b62 d6d613bc || 0 0 1 || 0 0 1 ||
4b7865b8 740220ab || 0 1 1 || 0 1 1 ||
71902174 ba1dc83b || 0 0 1 || 0 0 1 ||
bf04973f 027694fa || 0 1 0 || 0 1 0 ||
b4111c64 04542811 || 0 1 0 || 0 1 0 ||
13b809ee 3174f489 || 0 1 1 || 0 1 1 ||
9d8e11c8 3af9b75d || 0 1 0 || 0 1 0 ||
9e2857ad b4631453 || 0 1 1 || 0 1 1 ||
8da97300 b0cbb3b9 || 0 1 1 || 0 1 1 ||
7d5c7e94 e96a31c1 || 0 0 1 || 0 0 1 ||
72ec68b0 21b5f782 || 0 0 0 || 0 0 0 ||
6b46bd06 eb8b4417 || 0 0 1 || 0 0 1 ||
38364161 815aef1d || 0 0 1 || 0 0 1 ||
f85f35db d3e0c3b1 || 0 0 0 || 0 0 0 ||
32807c3b 369d1ee2 || 0 1 1 || 0 1 1 ||
b620180f 30555e33 || 0 1 0 || 0 1 0 ||
7abcc071 2fa29fb2 || 0 0 0 || 0 0 0 ||
f2c68c2c 712de8b9 || 0 1 0 || 0 1 0 ||
d80beb77 685cb5d6 || 0 1 0 || 0 1 0 ||
47bebc66 91d3ad83 || 0 0 1 || 0 0 1 ||
ec4b273f fe7269e8 || 0 1 1 || 0 1 1 ||
79362cab 627f2838 || 0 0 0 || 0 0 0 ||
26e88ad3 7611fba4 || 0 1 1 || 0 1 1 ||
0643ee20 c4c6f894 || 0 0 1 || 0 0 1 ||
1a801c52 7f20bef5 || 0 1 1 || 0 1 1 ||
c956ccd3 90c44ede || 0 0 0 || 0 0 0 ||
4e0d9084 dce19e24 || 0 0 1 || 0 0 1 ||
b4a5e4ea d1a61c72 || 0 1 1 || 0 1 1 ||
5f765f92 85c06d34 || 0 0 1 || 0 0 1 ||
0510cbcd 6aaf5a61 || 0 1 1 || 0 1 1 ||
e6863a81 c5dd5cc8 || 0 0 0 || 0 0 0 ||
33138756 643df543 || 0 1 1 || 0 1 1 ||
09a54ac4 d8fd0cbf || 0 0 1 || 0 0 1 ||
13bf68be 72737bfc || 0 1 1 || 0 1 1 ||
c463a686 76aad6ba || 0 1 0 || 0 1 0 ||
2c01318a 9dc69e04 || 0 0 1 || 0 0 1 ||
7a98b9ae fee3f4fc || 0 0 1 || 0 0 1 ||
9a604811 a9b91d29 || 0 1 1 || 0 1 1 ||
17ade965 caf5787f || 0 0 1 || 0 0 1 ||
29a2abc5 f89eacde || 0 0 1 || 0 0 1 ||
98b8d293 c36a237b || 0 1 1 || 0 1 1 ||
645f0b7a c06fac00 || 0 0 1 || 0 0 1 ||
c392e9c3 38c647c2 || 0 1 0 || 0 1 0 ||
83ddc994 7d2d8445 || 0 1 0 || 0 1 0 ||
7d4649c2 80f2f0c4 || 0 0 1 || 0 0 1 ||
327d78b6 50f470c2 || 0 1 1 || 0 1 1 ||
423a7708 38874394 || 0 0 0 || 0 0 0 ||
f49a91f6 a6202473 || 0 0 0 || 0 0 0 ||
ac04ab5f 8d67bb34 || 0 0 0 || 0 0 0 ||
da5672ea 365e7689 || 0 1 0 || 0 1 0 ||
06c8626f 60b73b13 || 0 1 1 || 0 1 1 ||
49f87d3e aaf6b574 || 0 0 1 || 0 0 1 ||
d400f238 59c62518 || 0 1 0 || 0 1 0 ||
b2115d5d 1aa8e9c2 || 0 1 0 || 0 1 0 ||
1be7e3ba 11cd92b6 || 0 0 0 || 0 0 0 ||
d16605f7 ce2c3520 || 0 0 0 || 0 0 0 ||
31ef2fd4 219d2d9a || 0 0 0 || 0 0 0 ||
58772ce2 5be7c132 || 0 1 1 || 0 1 1 ||
53c14c9c 342f020e || 0 0 0 || 0 0 0 ||
5933d72e 5c15fc98 || 0 1 1 || 0 1 1 ||
cc48da54 19d8467a || 0 1 0 || 0 1 0 ||
c7e5a854 dfaccc61 || 0 1 1 || 0 1 1 ||
7ad47056 0b2aec41 || 0 0 0 || 0 0 0 ||
218c2ea8 d0624732 || 0 0 1 || 0 0 1 ||
3d5b0807 311cc5f2 || 0 0 0 || 0 0 0 ||
c3e64780 84f05efb || 0 0 0 || 0 0 0 ||
2cf445c7 e88fd4c8 || 0 0 1 || 0 0 1 ||
4d928c8c a23d90cb || 0 0 1 || 0 0 1 ||
a30949a9 8a74e00e || 0 0 0 || 0 0 0 ||
a091b29f 6322d4e4 || 0 1 0 || 0 1 0 ||
7e9c6e5f 277e507f || 0 0 0 || 0 0 0 ||
d22901ae f73dba01 || 0 1 1 || 0 1 1 ||
283a9a0d cc498e9d || 0 0 1 || 0 0 1 ||
84389ea4 0ad493cc || 0 1 0 || 0 1 0 ||
8815b988 cb2afb60 || 0 1 1 || 0 1 1 ||
6baec683 da33c6a0 || 0 0 1 || 0 0 1 ||
7be2f428 b809b7c8 || 0 0 1 || 0 0 1 ||
9267c984 3402e4cf || 0 1 0 || 0 1 0 ||
770e57f0 05a027f8 || 0 0 0 || 0 0 0 ||
2c3b240a 284f4a87 || 0 0 0 || 0 0 0 ||
8db9e805 19b10d82 || 0 1 0 || 0 1 0 ||
bb6da2a1 2e681ac2 || 0 1 0 || 0 1 0 ||
ebaa55b7 e94835a6 || 0 0 0 || 0 0 0 ||
c48a3c90 2222dde7 || 0 1 0 || 0 1 0 ||
c10eeae0 b6b53a1a || 0 0 0 || 0 0 0 ||
4d7f4895 5c7abe86 || 0 1 1 || 0 1 1 ||
3c28ea47 63b02cb8 || 0 1 1 || 0 1 1 ||
04b1fe1e 47309835 || 0 1 1 || 0 1 1 ||
a86c312f bc147782 || 0 1 1 || 0 1 1 ||
c9774f9a 47a655d3 || 0 1 0 || 0 1 0 ||
8f432fc6 3eb744e8 || 0 1 0 || 0 1 0 ||
2fa0c3d8 fa7ef5e5 || 0 0 1 || 0 0 1 ||
143cbaaf 7575b70c || 0 1 1 || 0 1 1 ||
06586799 ea72b30a || 0 0 1 || 0 0 1 ||
7f4076ae dacfa15a || 0 0 1 || 0 0 1 ||
34bb852c 49c221ea || 0 1 1 || 0 1 1 ||
b47ee093 bf4f49ed || 0 1 1 || 0 1 1 ||
36403e40 8e1c66a0 || 0 0 1 || 0 0 1 ||
5f9c20b9 4de7cc4e || 0 0 0 || 0 0 0 ||
cc0d3957 f0d3b79a || 0 1 1 || 0 1 1 ||
e75e0339 7737fbcf || 0 1 0 || 0 1 0 ||
bf2f7d27 5bc58c40 || 0 1 0 || 0 1 0 ||
b7284d86 e052b763 || 0 1 1 || 0 1 1 ||
bf236658 6eea08d0 || 0 1 0 || 0 1 0 ||
c1504130 fe99dc7e || 0 1 1 || 0 1 1 ||
dcda0ce6 f003054a || 0 1 1 || 0 1 1 ||
480251b6 79843818 || 0 1 1 || 0 1 1 ||
0830391b 3d23c1f5 || 0 1 1 || 0 1 1 ||
6eba48c7 3600bfec || 0 0 0 || 0 0 0 ||
1928660c 04a51716 || 0 0 0 || 0 0 0 ||
4cbf2e6b af6f7e57 || 0 0 1 || 0 0 1 ||
5ced5c5b 4845459a || 0 0 0 || 0 0 0 ||
39dd0e1e 7e9fb696 || 0 1 1 || 0 1 1 ||
dee1086f acc3d53a || 0 0 0 || 0 0 0 ||
a82719e9 9762527b || 0 0 0 || 0 0 0 ||
173269d6 7f83ac87 || 0 1 1 || 0 1 1 ||
1e56a964 f356f827 || 0 0 1 || 0 0 1 ||
96402626 bd8a9fd3 || 0 1 1 || 0 1 1 ||
c7a7cd29 41d4021c || 0 1 0 || 0 1 0 ||
c97a38e8 f09915ea || 0 1 1 || 0 1 1 ||
2bc13af1 fc28e53b || 0 0 1 || 0 0 1 ||
2c427c8f a967a54b || 0 0 1 || 0 0 1 ||
47d96571 a0803579 || 0 0 1 || 0 0 1 ||
133c00d3 d55b8801 || 0 0 1 || 0 0 1 ||
a137ef4e b7aad505 || 0 1 1 || 0 1 1 ||
db7c0fce 1177cd37 || 0 1 0 || 0 1 0 ||
eeab3dbc f168b7b9 || 0 1 1 || 0 1 1 ||
dafb2cd6 746fafab || 0 1 0 || 0 1 0 ||
9dab3448 438d8f11 || 0 1 0 || 0 1 0 ||
8586a9c3 270a28f6 || 0 1 0 || 0 1 0 ||
499cdb12 0e5c013a || 0 0 0 || 0 0 0 ||
5178aa1d 7d8217d5 || 0 1 1 || 0 1 1 ||
e3b30a2b 67f9f1d8 || 0 1 0 || 0 1 0 ||
455ef655 dcdf8033 || 0 0 1 || 0 0 1 ||
aa8ed967 85e89f5a || 0 0 0 || 0 0 0 ||
26a6c905 d749d2ea || 0 0 1 || 0 0 1 ||
70e77a58 0feb0d27 || 0 0 0 || 0 0 0 ||
fe3321bd e95fc272 || 0 0 0 || 0 0 0 ||
71b080c5 d583ae8b || 0 0 1 || 0 0 1 ||
75994d21 4a8bbfa9 || 0 0 0 || 0 0 0 ||
7ea681f0 23e36566 || 0 0 0 || 0 0 0 ||
a0de416f 5392c63e || 0 1 0 || 0 1 0 ||
51b3d9a2 d0744c95 || 0 0 1 || 0 0 1 ||
f8ce3737 2c700968 || 0 1 0 || 0 1 0 ||
48f3f96f 8fbdcac5 || 0 0 1 || 0 0 1 ||
e1eb0b8b 7a01232c || 0 1 0 || 0 1 0 ||
bcf7c9d7 4aff128b || 0 1 0 || 0 1 0 ||
f68f3bd8 8e18ab78 || 0 0 0 || 0 0 0 ||
b239b1a3 4aaf288a || 0 1 0 || 0 1 0 ||
18a22947 997ddf1f || 0 0 1 || 0 0 1 ||
5a38662a 983e90a3 || 0 0 1 || 0 0 1 ||
3cabcb50 2eec402a || 0 0 0 || 0 0 0 ||
b3dd44e9 afb346e1 || 0 0 0 || 0 0 0 ||
1f47f14f 6bb0251f || 0 1 1 || 0 1 1 ||
bedc08ef 28c20e2f || 0 1 0 || 0 1 0 ||
8aad3ef7 fc19e7ea || 0 1 1 || 0 1 1 ||
0210efac 5ee18df2 || 0 1 1 || 0 1 1 ||
ef81a3e3 78cc09ae || 0 1 0 || 0 1 0 ||
0c435f12 51c22fcf || 0 1 1 || 0 1 1 ||
