a836f4911b9790a9 5abc70a24a81959b || 0 1 0 || 0 1 0 ||
09dc06561e7724fb 881d0717db52e429 || 0 0 1 || 0 0 1 ||
4a3baaeea8837ac0 d44dbcceb5d482e5 || 0 0 1 || 0 0 1 ||
1cac7f8c5ed745e1 96a8964ba8fcc9e8 || 0 0 1 || 0 0 1 ||
628e1c4554c9feb8 616d7f3f6dbb33c7 || 0 0 0 || 0 0 0 ||
b244c1ce0faba5f1 8387d71ff1c0be50 || 0 0 0 || 0 0 0 ||
8ef83c4e03222387 a583d5b6845953d4 || 0 1 1 || 0 1 1 ||
45bfdc04940b3d81 8767c1f949de1998 || 0 0 1 || 0 0 1 ||
34bb05008304ac4f cc7d407c36da24d4 || 0 0 1 || 0 0 1 ||
c8d859da97a8f68b a56f8a8b68494eca || 0 0 0 || 0 0 0 ||
01c6549df00579bf 7ec84725e8d325f8 || 0 1 1 || 0 1 1 ||
60cdfa195cf7df77 8290ab427d02f85b || 0 0 1 || 0 0 1 ||
e69309729c107510 b8cb0a2f07be0dee || 0 0 0 || 0 0 0 ||
7779910617fee2dd 767abfd0f3e03755 || 0 0 0 || 0 0 0 ||
1eec775de4d83594 e67ae02453743463 || 0 0 1 || 0 0 1 ||
f7bb6dda665881b0 20b225b87b5262b1 || 0 1 0 || 0 1 0 ||
f80e982d2507fa27 d1a6eaac8500e5ab || 0 0 0 || 0 0 0 ||
a2ae22e4962c4cbc ea31d2774dd85875 || 0 1 1 || 0 1 1 ||
6f215076d489b27f af3b198fb5841b79 || 0 0 1 || 0 0 1 ||
c9332411f1a9351a 11c67d3bca3dee4a || 0 1 0 || 0 1 0 ||
86de94a62651647d 3bb5aa943b17f742 || 0 1 0 || 0 1 0 ||
90b785aac5f53902 252f274dca48787f || 0 1 0 || 0 1 0 ||
4615c09584be85f2 9b779249fd521be8 || 0 0 1 || 0 0 1 ||
783f4def0d5b5106 3b7d1c5a33694841 || 0 0 0 || 0 0 0 ||
5ad33504136238c7 8201f5a23ec9b931 || 0 0 1 || 0 0 1 ||
3822384f5ff1ebbc 30177e76f2cdee15 || 0 0 0 || 0 0 0 ||
2b5c8da6a21ad2bc e4420419d32630a6 || 0 0 1 || 0 0 1 ||
c6164517d4d7ab60 757773342e39106b || 0 1 0 || 0 1 0 ||
3b08ea78626e421d 95fce956223ef5b6 || 0 0 1 || 0 0 1 ||
53fef4e764feed70 3053704b2b6b848a || 0 0 0 || 0 0 0 ||
f8753455416db2ed fe72b6c7fc33a8df || 0 1 1 || 0 1 1 ||
15825fb0c7b72a05 a51562e477808bd5 || 0 0 1 || 0 0 1 ||
115c004eb43a8cf1 fe5d40cf9a1529d2 || 0 0 1 || 0 0 1 ||
3de0cdb0cacef7a5 488f9aac6af7056b || 0 1 1 || 0 1 1 ||
4d59a8a9cdec1403 fd0c8749e9f2352b || 0 0 1 || 0 0 1 ||
0605130898efc010 ad8adba132da43b2 || 0 0 1 || 0 0 1 ||
73b5355e42eb96d9 1cf722f853e40c76 || 0 0 0 || 0 0 0 ||
4d5d6121ecc08a2d 4ff7e3770588049c || 0 1 1 || 0 1 1 ||
3ca78c2b61952c92 0bee7ef00c89b313 || 0 0 0 || 0 0 0 ||
d10ae406b340d377 e3f72494da5da951 || 0 1 1 || 0 1 1 ||
96079e7f03fa7b67 bce4eb4780e423f5 || 0 1 1 || 0 1 1 ||
2d5d4fdc6e57e284 f80bd3d9524e9405 || 0 0 1 || 0 0 1 ||
e7d95048c5b0fda8 d1e5265792a0c8ce || 0 0 0 || 0 0 0 ||
1df3f76525199ce9 389ab8b5650fbe5b || 0 1 1 || 0 1 1 ||
4c89bba7c3161c57 dd36abc0045ad0ae || 0 0 1 || 0 0 1 ||
caae5d6c2b1bfe98 6e7d0aaaffeffaa4 || 0 1 0 || 0 1 0 ||
a1964fc6ae0ec5c1 462304c2328929b3 || 0 1 0 || 0 1 0 ||
3b6f156b16fbc0be 2b6470230e7da551 || 0 0 0 || 0 0 0 ||
ae29b72b6d5bcfc1 cb1b9555e53b5537 || 0 1 1 || 0 1 1 ||
fb470657be5088ad 55c8917e81933408 || 0 1 0 || 0 1 0 ||
565d7a9092b27dd7 4efd9a1110a388a5 || 0 0 0 || 0 0 0 ||
ca474d2768e6ebbc a74d26e5d34c242e || 0 0 0 || 0 0 0 ||
b56d9c927b00582f d6cdc59f221d5d98 || 0 1 1 || 0 1 1 ||
1f184b2726eff2fe ac0bf9f1da8e86da || 0 0 1 || 0 0 1 ||
7b7da7c230fce9ef 7f685a89bfaa2f14 || 0 1 1 || 0 1 1 ||
77f3f4c295671685 c1e79f11a680b961 || 0 0 1 || 0 0 1 ||
ba6a3fbf073dde76 a284576ed7dcd64d || 0 0 0 || 0 0 0 ||
f00245ca2cf3c80f ca9df75b1e430d64 || 0 0 0 || 0 0 0 ||
83f43f41be51c829 449b8f2bfb649806 || 0 1 0 || 0 1 0 ||
ce96666237e2c0db 0165d1c29d0de579 || 0 1 0 || 0 1 0 ||
1c7809ea28305c13 ff3cf26945d2cf1e || 0 0 1 || 0 0 1 ||
6458390b97cf54c5 8a93a9fead719247 || 0 0 1 || 0 0 1 ||
43ddd9756e4b4de5 450fd66abdad2d61 || 0 1 1 || 0 1 1 ||
7fc6b88ebf76992e f131de1d1b77fac2 || 0 0 1 || 0 0 1 ||
debb7bf10781b9a5 59b0aad9df8fed87 || 0 1 0 || 0 1 0 ||
501e3337c78b7126 272c1801e63594da || 0 0 0 || 0 0 0 ||
a7b02ae47b10f984 b887615a0cafe3b8 || 0 1 1 || 0 1 1 ||
6f0d592578630b20 5865cdc57b0cb42c || 0 0 0 || 0 0 0 ||
742be3b0e2e9b638 442cfa6ae8d81285 || 0 0 0 || 0 0 0 ||
8fb3771c9d18ffa5 c8c64848992fba13 || 0 1 1 || 0 1 1 ||
d5badcf94888fb77 0979dfc6a422b9fc || 0 1 0 || 0 1 0 ||
ff8323876c8c7f4f a57b5e3c14fbab88 || 0 0 0 || 0 0 0 ||
185986154edc814b c880e393ea029b3e || 0 0 1 || 0 0 1 ||
7ed9c533dd2794ad a04d4b53d1a93090 || 0 0 1 || 0 0 1 ||
6535e5859216544e 1773d7ff33af695d || 0 0 0 || 0 0 0 ||
0c5360f12a9d16bb 5d4acc39fca0965a || 0 1 1 || 0 1 1 ||
d30334e0de0cc63f 57561827c5336796 || 0 1 0 || 0 1 0 ||
d047217fe30e52d9 46ab136b1d9a137d || 0 1 0 || 0 1 0 ||
69a8ba4483d95a87 2a8a610a0d45c7c1 || 0 0 0 || 0 0 0 ||
8ea681cf51b19740 6e46cae24c19c456 || 0 1 0 || 0 1 0 ||
1c6b481d0011a069 04e7e03839a15d0b || 0 0 0 || 0 0 0 ||
083577ec36b65b44 b9a7968188e05563 || 0 0 1 || 0 0 1 ||
7bb3a205b87f514f 8f3949fd094f1c01 || 0 0 1 || 0 0 1 ||
10209756d2677d07 6c1f32cae2b122c3 || 0 1 1 || 0 1 1 ||
36f05fe5560f9d92 09ce30d4db83d58c || 0 0 0 || 0 0 0 ||
5279f1aecb075a76 290c97fa4fd0228f || 0 0 0 || 0 0 0 ||
1b4261bc2a24e737 f087ef72602bc3ec || 0 0 1 || 0 0 1 ||
47886c43628a0d7c bddfed67f70d10b6 || 0 0 1 || 0 0 1 ||
0d4a9c2165d3fbb5 c907e39f4c9dc1df || 0 0 1 || 0 0 1 ||
4ca5cd123502eb4b 99edd5d66ad751e8 || 0 0 1 || 0 0 1 ||
8800345e78c55743 2b3f2a14cc765d9e || 0 1 0 || 0 1 0 ||
7d895085d40fd728 9c4199ea74927db1 || 0 0 1 || 0 0 1 ||
d4cbce3392b35636 419d8d96408a9417 || 0 1 0 || 0 1 0 ||
b774a38f69c3098d a04dc33eb65424c8 || 0 0 0 || 0 0 0 ||
8b600f9c4645fa9c 6af90f5332047af2 || 0 1 0 || 0 1 0 ||
ac08451452b9e558 d8552a68a736416f || 0 1 1 || 0 1 1 ||
c2ed72dfd8e93bda f095210df577b035 || 0 1 1 || 0 1 1 ||
302e40f79da902b7 e88798e46c48de16 || 0 0 1 || 0 0 1 ||
fcf99f7bb6c4dea4 4d40ec773f9f9cb0 || 0 1 0 || 0 1 0 ||
c89b8ccf3d8721be 4f06b32b464d3544 || 0 1 0 || 0 1 0 ||
f68ba02f8639361b d462062abf8fa2bd || 0 0 0 || 0 0 0 ||
e4d14789c86d00a7 79e0baa9937f8869 || 0 1 0 || 0 1 0 ||
06178da793f06799 2d496ba600c679f8 || 0 1 1 || 0 1 1 ||
eda6d345b7b3e84e dbdf90b09f53f569 || 0 0 0 || 0 0 0 ||
7bfed147402f5b32 1e9f0e2152658605 || 0 0 0 || 0 0 0 ||
60b1902b307cc79d b4ce2e43e61d0f7b || 0 0 1 || 0 0 1 ||
b180a759e57227b6 bfa546864a11cb0f || 0 1 1 || 0 1 1 ||
422571d7762d8d65 e38889e357af30d2 || 0 0 1 || 0 0 1 ||
9326f04992c2b60e 28c4a9c2134eec4f || 0 1 0 || 0 1 0 ||
9469b374470aeeec de90c1476ab4970a || 0 1 1 || 0 1 1 ||
ad004c9a163d2bc8 ef1623d27cef5341 || 0 1 1 || 0 1 1 ||
ab991c918c7eb1be 7e19f179f4cdd0fe || 0 1 0 || 0 1 0 ||
6b4818f772e6a2fc d0e190000f8704b3 || 0 0 1 || 0 0 1 ||
a84719398ba0372d 39d6bd8a48947ac0 || 0 1 0 || 0 1 0 ||
57d5c515381a060f c69d30fd525bdd19 || 0 0 1 || 0 0 1 ||
306abfd5384e4cca cb82f282f82230d8 || 0 0 1 || 0 0 1 ||
42dcfd55268c3085 d52896f77df5d73b || 0 0 1 || 0 0 1 ||
eb63735b486e606a 8d8e02c89681eb29 || 0 0 0 || 0 0 0 ||
3e1a064de073cfde 7b792a14ae725194 || 0 1 1 || 0 1 1 ||
15cd2eb8e54173a4 76f3f4c6225e8666 || 0 1 1 || 0 1 1 ||
adc4c78f593dbe99 0a373d70e3481233 || 0 1 0 || 0 1 0 ||
7c44177db05cab8d ca1f97c23eb308e7 || 0 0 1 || 0 0 1 ||
395c298e717a675a ca22d81efa2c6313 || 0 0 1 || 0 0 1 ||
bb28793b6a382218 2c6afc8defc002e4 || 0 1 0 || 0 1 0 ||
5501a5e2d5f2f5e7 6acf709d0d53f57e || 0 1 1 || 0 1 1 ||
dfffaaf90abec5fa 19873eb37baaac57 || 0 1 0 || 0 1 0 ||
63df6ef7358a5ef7 2faad026d3bac002 || 0 0 0 || 0 0 0 ||
4152b24cc6d537d9 030711d64d4df125 || 0 0 0 || 0 0 0 ||
b5160f0e4ea723ad 4d56d265148a0b63 || 0 1 0 || 0 1 0 ||
e7fbbaa59b5b761f 74a70c29f03aff25 || 0 1 0 || 0 1 0 ||
dd78f0935f9f6eab 4ed979f093d03dc9 || 0 1 0 || 0 1 0 ||
e954c8d39ca57ac8 a2a2db544b442162 || 0 0 0 || 0 0 0 ||
4ef206dba5e6c2c6 a47395978e24a6f6 || 0 0 1 || 0 0 1 ||
0feaa0a804b4a664 afc658f1e9871a5d || 0 0 1 || 0 0 1 ||
2e14e26486906552 3d51265c1dd0e387 || 0 1 1 || 0 1 1 ||
ddb6bd56f20ba92a b291fcbe959d3c03 || 0 0 0 || 0 0 0 ||
21af4d3d268b66bb 135673d641b686da || 0 0 0 || 0 0 0 ||
034503b1fee1c891 7f56d207ad948892 || 0 1 1 || 0 1 1 ||
83a6371d6e25f37e 6b88493eb1d470b3 || 0 1 0 || 0 1 0 ||
e44bc116ea4046ef f9f0348a0f72354f || 0 1 1 || 0 1 1 ||
09a1a6dfacd4e3fd 19c3a34a002503ee || 0 1 1 || 0 1 1 ||
89ca93089aba0fcc c2d0143e909f09cb || 0 1 1 || 0 1 1 ||
886d0d064d6c4c1a 78ddcafc9b9b2813 || 0 1 0 || 0 1 0 ||
6d9350d80f8abb4e 47060893be4f586a || 0 0 0 || 0 0 0 ||
4669f80c30faff25 4bef76e16682b9ec || 0 1 1 || 0 1 1 ||
81bcd5646e3ab3b0 7b677b9842a3c3ba || 0 1 0 || 0 1 0 ||
cc5234776102b2f1 a359b92427b939f0 || 0 0 0 || 0 0 0 ||
7dc6101edd766654 a856d21467225a6c || 0 0 1 || 0 0 1 ||
6c2a55ee4dd500ea 3428aa34d138bc69 || 0 0 0 || 0 0 0 ||
a02196ff1a126350 b63b3e8a4e7f15c8 || 0 1 1 || 0 1 1 ||
c633c31a9bbaa198 ca64e013d2b3edcf || 0 1 1 || 0 1 1 ||
934a7d731427a6b0 7b77fd1be0ab3700 || 0 1 0 || 0 1 0 ||
c01c7e8d7b639212 106e8b71ca01cf71 || 0 1 0 || 0 1 0 ||
27c1ac0e5258ba28 b003f0d071965e63 || 0 0 1 || 0 0 1 ||
aef7b8baef90a7a2 6d54154e6415cfc6 || 0 1 0 || 0 1 0 ||
bb15136a7dfdf04f 2a834be0a9cc38bd || 0 1 0 || 0 1 0 ||
36f5b44531f9a2ac 12840ecda0fa66ea || 0 0 0 || 0 0 0 ||
c9b264219ec4bb42 85e54bdfbe3e43f9 || 0 0 0 || 0 0 0 ||
93df6444d02c6302 3620ed2897b9bd6d || 0 1 0 || 0 1 0 ||
a69dd60e0c9be992 33b105ff72df963f || 0 1 0 || 0 1 0 ||
0580b17d40d601c5 8eb3b87a82b8a9bb || 0 0 1 || 0 0 1 ||
60bb0530a19dd8f7 157ad9fae734f196 || 0 0 0 || 0 0 0 ||
558fe7437e074fe7 c66541ea34b96461 || 0 0 1 || 0 0 1 ||
37c227a392f5b054 bec6160c2fe7b9c2 || 0 0 1 || 0 0 1 ||
68a45273009d76e1 42b27d61cf10d226 || 0 0 0 || 0 0 0 ||
ad246aa258b27b9a 34b908ed107048f4 || 0 1 0 || 0 1 0 ||
cc07235dcb3a6bf4 7cd3898f901cf04f || 0 1 0 || 0 1 0 ||
5166596d738a6d7c 37670a9c1042641a || 0 0 0 || 0 0 0 ||
8e1e9083bedd7a5d 33a6f20826f65f22 || 0 1 0 || 0 1 0 ||
b748f671d79acadf a10bdd17ee65c066 || 0 0 0 || 0 0 0 ||
49cee4a554e476bd 1554b43066ff8092 || 0 0 0 || 0 0 0 ||
db6b6df8fad959b0 e4ae359fa5bae5bf || 0 1 1 || 0 1 1 ||
054189bd3eebf3d6 b9d5b8ad5546afb0 || 0 0 1 || 0 0 1 ||
66566024889b5ada c0b251506c697150 || 0 0 1 || 0 0 1 ||
19503ebc8ba432b8 f877b6c91a4048aa || 0 0 1 || 0 0 1 ||
c9d284d81ed462a2 9d37eb07f9b68018 || 0 0 0 || 0 0 0 ||
c964cc6a42dc1ffd 8e6b598ebde4d497 || 0 0 0 || 0 0 0 ||
f2a8612255ca19d5 9564d8d234a58d74 || 0 0 0 || 0 0 0 ||
2a6ea342d20adbe3 6a5300dc35f12b7d || 0 1 1 || 0 1 1 ||
1bc482ea8b65e353 0ecc827517854363 || 0 0 0 || 0 0 0 ||
1d5dca172e986e21 11601744f2d9051b || 0 0 0 || 0 0 0 ||
d5924bc7f26807f8 85e04da4c2083eba || 0 0 0 || 0 0 0 ||
36398e0695a258cd cb1f3c038394674e || 0 0 1 || 0 0 1 ||
942b1c77497d023d df7f2ce38235a0b6 || 0 1 1 || 0 1 1 ||
225b909efc688d1b caa1dbad9ef55c20 || 0 0 1 || 0 0 1 ||
9878643ab31d357b 948e8e3618c3fe49 || 0 0 0 || 0 0 0 ||
d533cbc3580bcd9f 1f325ea76c40bc38 || 0 1 0 || 0 1 0 ||
430c6b82fd6c7ecc 8afc9096aac34ff4 || 0 0 1 || 0 0 1 ||
65a2172516de708b 02b5a06e7651ca59 || 0 0 0 || 0 0 0 ||
d9c426a053ef2723 8c35b0a669f82931 || 0 0 0 || 0 0 0 ||
d8dcb4071ad15a35 80e382037f919f10 || 0 0 0 || 0 0 0 ||
62464b9805783db2 0a6e250fddfa6f15 || 0 0 0 || 0 0 0 ||
eee98c52799f9481 41831ed2c72da5ef || 0 1 0 || 0 1 0 ||
1371583c077e0d50 56042ecfde2b2b85 || 0 1 1 || 0 1 1 ||
92f41cd074cb4545 4e8f92f5f0903bd8 || 0 1 0 || 0 1 0 ||
274ae1aa0ed0783c 888b3934015b1521 || 0 0 1 || 0 0 1 ||
24c125d87bedbf0b 6bfb3738395f949e || 0 1 1 || 0 1 1 ||
5e86b4aa14d9d2bf acea62bbf4871e22 || 0 0 1 || 0 0 1 ||
2100c27563bc27e9 1758d8a3287793f2 || 0 0 0 || 0 0 0 ||
a0c8eb8ef67af3e3 7f33ebe5e6bb333c || 0 1 0 || 0 1 0 ||
f673c7648bcab631 4172a8f7a484629b || 0 1 0 || 0 1 0 ||
63cb45419da44f8a e6132fc0540eac55 || 0 0 1 || 0 0 1 ||
d588f5c316f0d269 a9b1b50721b2c72e || 0 0 0 || 0 0 0 ||
f0312d9ae3eb28b1 c9eae5fdaac37b75 || 0 0 0 || 0 0 0 ||
9bc4cc1aa31f5e1a f0854f7901a37074 || 0 1 1 || 0 1 1 ||
f61bd6f9a28f84e9 c4e34ebfac81c668 || 0 0 0 || 0 0 0 ||
61cd26c69670c58c 8a7bd3dafee04283 || 0 0 1 || 0 0 1 ||
090d3f06daa604f0 23b2b1bf472a84b8 || 0 1 1 || 0 1 1 ||
6a4daadd7ed1137a 56ea3bf10d619eef || 0 0 0 || 0 0 0 ||
b48cee813d466695 8132cd41a8298537 || 0 0 0 || 0 0 0 ||
3bfc0a44c6cb2e7c 2216a0284543bb02 || 0 0 0 || 0 0 0 ||
bfc9b1af1fbd3518 f636315d64be06ad || 0 1 1 || 0 1 1 ||
d0f0503c522612b4 8c83d206ef118d6a || 0 0 0 || 0 0 0 ||
8c1ef1efcec099e3 4ba13e9f17fb8097 || 0 1 0 || 0 1 0 ||
0fc97f7906b09d49 4edba209f20f0905 || 0 1 1 || 0 1 1 ||
346d471bf2362db1 55e41076655d63d6 || 0 1 1 || 0 1 1 ||
3b9c856b1f96f729 3e0a9bb5abe449f7 || 0 1 1 || 0 1 1 ||
f7e843f8aa2f9363 b8b84c8a3cfe240d || 0 0 0 || 0 0 0 ||
a51c69ed5bed04b1 c4fb970033880c91 || 0 1 1 || 0 1 1 ||
8c072b655c777c9a 73ec7adc15c0288a || 0 1 0 || 0 1 0 ||
90af8ef1c4b7fef7 42bcb8ee14153c92 || 0 1 0 || 0 1 0 ||
9f5754c6ce7b130a 1f87b6ceb40c3cbe || 0 1 0 || 0 1 0 ||
8e3a445df0194328 c33424cb96fbbbae || 0 1 1 || 0 1 1 ||
487509265d17e065 412e5fb1d652df32 || 0 0 0 || 0 0 0 ||
8b1679f295030229 d974552703cf65a4 || 0 1 1 || 0 1 1 ||
311f95e2e53ccec9 10982f1eabc3b97b || 0 0 0 || 0 0 0 ||
12e5fd404f211de5 017b072852778cb5 || 0 0 0 || 0 0 0 ||
cb16af840b0071e5 d4974709787e347c || 0 1 1 || 0 1 1 ||
69e9d38798f58457 366b9222eb2549e5 || 0 0 0 || 0 0 0 ||
1b7b5edb09390bab b180e2a28806a545 || 0 0 1 || 0 0 1 ||
8eb2d0b2bd5fcbc3 c15964056eb3623f || 0 1 1 || 0 1 1 ||
6b0631b04b5208d1 7056441beda87cd3 || 0 1 1 || 0 1 1 ||
dbca51aee83e4782 cf0a8042c011247a || 0 0 0 || 0 0 0 ||
db83dd73859a7179 7bbefce53d0110ff || 0 1 0 || 0 1 0 ||
ac2be72b9546cec2 0dcd5027169c2bc1 || 0 1 0 || 0 1 0 ||
2951f9f4a81fecb8 4a7baafd5fbed551 || 0 1 1 || 0 1 1 ||
cd5bab69cda82273 27ff3478ad8d892a || 0 1 0 || 0 1 0 ||
5e5b2867eb14e4a6 83321c328ea04d87 || 0 0 1 || 0 0 1 ||
591e33880019267d f572d4eb3281aa69 || 0 0 1 || 0 0 1 ||
6d2c89ba581d71ce 62e73901bc209078 || 0 0 0 || 0 0 0 ||
1358d760fd558d4a a5cff9176875ca3c || 0 0 1 || 0 0 1 ||
ef81e5c685f85220 ddcd371387211aab || 0 0 0 || 0 0 0 ||
932d53544f7e72ff 9c4af7d24610daec || 0 1 1 || 0 1 1 ||
8b3b2094a6f610f3 4c5138d996b62551 || 0 1 0 || 0 1 0 ||
a8d8025405bba5c4 341f05af21298cd2 || 0 1 0 || 0 1 0 ||
9a1709a798258d9d dfb0c7fd7a38826f || 0 1 1 || 0 1 1 ||
d91e07c873ef95d4 cb88e9dec6fff5b7 || 0 0 0 || 0 0 0 ||
b00437357c9e5605 e1b9500d2704ba5c || 0 1 1 || 0 1 1 ||
51a9698261f0a37c eff21d78867b40bf || 0 0 1 || 0 0 1 ||
01d0cb635da27936 f21941a10ca84418 || 0 0 1 || 0 0 1 ||
ca64a57a9b3666b4 6f120e17a0d9f0e7 || 0 1 0 || 0 1 0 ||
d0863e0f3b892d6c 674a149e4add0d07 || 0 1 0 || 0 1 0 ||
490db055c74d394a 58ab227812f3e460 || 0 1 1 || 0 1 1 ||
86f82684b8f6b81e 50c6b4c02a9a86b5 || 0 1 0 || 0 1 0 ||
a1558e50cf88408e a5bc0b090cd0a370 || 0 1 1 || 0 1 1 ||
c28c8773e8dece54 b917ecc2c022065f || 0 0 0 || 0 0 0 ||
1f2230a783054776 a103572e9627a158 || 0 0 1 || 0 0 1 ||
ff17d25bf518de88 607e66e30602da06 || 0 1 0 || 0 1 0 ||
248b59adc78083ff 899928242c6fbfe9 || 0 0 1 || 0 0 1 ||
ffc6d7e2248580c8 5a4d2b499b759bfa || 0 1 0 || 0 1 0 ||
662c620058236db1 01dfc3af1fb86011 || 0 0 0 || 0 0 0 ||
61d5a73e10e1b6f8 04a848a5c7bc6c1e || 0 0 0 || 0 0 0 ||
ea30422f7bc9aca9 8f0ffb577cc10564 || 0 0 0 || 0 0 0 ||
4e60fcdf7bd832ba bd515516651fe43d || 0 0 1 || 0 0 1 ||
fb927bc7b0ac8ff0 d18c5b746230befc || 0 0 0 || 0 0 0 ||
f33348a11f5a3507 5d0d0f5499c53a12 || 0 1 0 || 0 1 0 ||
83164e31ab78a830 0cc07f0ae15a8be3 || 0 1 0 || 0 1 0 ||
4761e208e25c8a5f 8f58f9ce1de7ec24 || 0 0 1 || 0 0 1 ||
18dd3672852f70aa 29f7102919d27040 || 0 1 1 || 0 1 1 ||
54953175d1eb9999 a150fc17a1510c4d || 0 0 1 || 0 0 1 ||
f552009bd848a3af 6cf72e11f507bf29 || 0 1 0 || 0 1 0 ||
d3443ff1ee8310f9 3c2a66bf4de3e826 || 0 1 0 || 0 1 0 ||
d3d65a21732544d1 20c0dfe397893bb0 || 0 1 0 || 0 1 0 ||
df0d2d0b8596e649 382a62e65e8250ac || 0 1 0 || 0 1 0 ||
e25246274478c1f6 0dfaa780062a142f || 0 1 0 || 0 1 0 ||
54365113db167cfe 6e37e584b1ca0686 || 0 1 1 || 0 1 1 ||
048af469e58b8da2 076e18b9a516a0a0 || 0 1 1 || 0 1 1 ||
6d86d4e35adcc840 0f10faa1926f81e2 || 0 0 0 || 0 0 0 ||
4232c5a586741c75 98a48b38b9ea0c31 || 0 0 1 || 0 0 1 ||
8007cd4a1e0c6a52 033eaa45292ad8c3 || 0 1 0 || 0 1 0 ||
68630539955e47e8 506df2a18fd3d412 || 0 0 0 || 0 0 0 ||
9bf746116bec2974 82c4dce0db6c36f0 || 0 0 0 || 0 0 0 ||
b7abefc7b6690ab3 f43bc1f842a45ee9 || 0 1 1 || 0 1 1 ||
681cd921b2547fee 979b858d97e13b7f || 0 0 1 || 0 0 1 ||
17221a15d73bc067 97e1e683e3b1a439 || 0 0 1 || 0 0 1 ||
3089f17dfdca0574 347fb0192a1fcd4b || 0 1 1 || 0 1 1 ||
e43212a73905939f 08b157a6c9527a17 || 0 1 0 || 0 1 0 ||
9d92f5fd4c3c9ac4 f60b580439add08a || 0 1 1 || 0 1 1 ||
5fdb6f240d53980c a59d63dbe5ba2205 || 0 0 1 || 0 0 1 ||
e2c9ddc27c03c3e9 b981f282c450605c || 0 0 0 || 0 0 0 ||
67e99bd0e04c97c6 057aad29ef1c3c73 || 0 0 0 || 0 0 0 ||
b518faa61e9109d3 aac6a6f0c2e34e28 || 0 0 0 || 0 0 0 ||
e576a1522b8caa39 346aace32842c249 || 0 1 0 || 0 1 0 ||
819f338d97865de9 c99355dbb1c7f43d || 0 1 1 || 0 1 1 ||
081300a0c68fd167 cc350acd4709cfd5 || 0 0 1 || 0 0 1 ||
bde6d55a55058ad9 fe56193c99fc48cb || 0 1 1 || 0 1 1 ||
b4e080223dd87882 217f29ac709b70ca || 0 1 0 || 0 1 0 ||
355991b98a66799f 36d44cd5a4beca51 || 0 1 1 || 0 1 1 ||
dcec9970f656da07 b124eb7a7bd21973 || 0 0 0 || 0 0 0 ||
2f6f2a1618f189c2 65049f2506e6f38d || 0 1 1 || 0 1 1 ||
c84f65873e6ddeec fed28824e3292cbc || 0 1 1 || 0 1 1 ||
0fa42103bbb38cdb d992aa582d6df3b5 || 0 0 1 || 0 0 1 ||
5560476044019566 a7a4a0b7602ee481 || 0 0 1 || 0 0 1 ||
3372e2cee58d13d0 eb3e1b4d132ad28f || 0 0 1 || 0 0 1 ||
576533e15b47dff0 86688a5a9a6b829e || 0 0 1 || 0 0 1 ||
9a5a5e4fa119c655 82a394d1c2b291ce || 0 0 0 || 0 0 0 ||
4c863e199359948f 2862048da3097ee4 || 0 0 0 || 0 0 0 ||
bba66ee0a0e17bce 4206070d7c592298 || 0 1 0 || 0 1 0 ||
9cd1126bb8cbecdc a33ef1e81684fbe6 || 0 1 1 || 0 1 1 ||
c2568897771cc8f0 e90eeda0e9257cd3 || 0 1 1 || 0 1 1 ||
4e4022bba322ca10 3b53dc2fd54d7ba2 || 0 0 0 || 0 0 0 ||
c24ae55d33289f66 019aee5b1992b3de || 0 1 0 || 0 1 0 ||
3804ce020bc2790f 77086eec0074febd || 0 1 1 || 0 1 1 ||
e231fb1af3ad3f00 2c215b1d43e83e0e || 0 1 0 || 0 1 0 ||
b81caf990e85f5b2 d63b47922e159e61 || 0 1 1 || 0 1 1 ||
6ce41635c4b34dbf 5f861236ecdbafa5 || 0 0 0 || 0 0 0 ||
bca66e82c2e76ac3 b008b1040e1905c5 || 0 0 0 || 0 0 0 ||
ede921ebb03941ac 2145645d93d43e3a || 0 1 0 || 0 1 0 ||
cc12e4452366863f 90caeb68523790a4 || 0 0 0 || 0 0 0 ||
28bdbfc9184c616f 972ad2d342dbdb86 || 0 0 1 || 0 0 1 ||
73911153667d4f88 d825eb34e17bd4e1 || 0 0 1 || 0 0 1 ||
a569e3fd2e7f817b 6dbb039b5d80f794 || 0 1 0 || 0 1 0 ||
3f6e518c34c62ef3 7b944b99b50f0270 || 0 1 1 || 0 1 1 ||
a76a473622e6e998 452cd739380adaad || 0 1 0 || 0 1 0 ||
fce127b8245c23ec b82f4dd705472c78 || 0 0 0 || 0 0 0 ||
ed85eb7c9010ddb1 7e162833466d609f || 0 1 0 || 0 1 0 ||
8f49171b964dd4bc 5598eb788f45aefd || 0 1 0 || 0 1 0 ||
4b973a299b8e1294 f39be42567eeefa9 || 0 0 1 || 0 0 1 ||
7a5e595e6acd1153 59d2aa8fc4d7d69f || 0 0 0 || 0 0 0 ||
3b444af55606f6a2 b419f7bdd15e411d || 0 0 1 || 0 0 1 ||
38065410071b2bab 1906db54cd9e0891 || 0 0 0 || 0 0 0 ||
c53a2aac56a5534a d612482eb796bcdc || 0 1 1 || 0 1 1 ||
a97dd2a30084a295 6e8012fed6cfb555 || 0 1 0 || 0 1 0 ||
423f897bc5095001 0b1f537525637f78 || 0 0 0 || 0 0 0 ||
b623200376bca6c1 5e13e62f0f8bd35a || 0 1 0 || 0 1 0 ||
e4b495163160af4d 16b41c2decbfcb70 || 0 1 0 || 0 1 0 ||
